scroll_id,dag_depth,complexity,fork_score,unit_type,latency_ms,energy_w,timestamp
scroll_00088,5,0.89,4.45,squad,0.972,0.0156,2025-05-13T10:34:07.968557
scroll_00089,4,0.97,3.88,squad,1.04,0.0161,2024-12-11T10:34:07.968575
scroll_00090,3,0.42,1.26,sniper_pair,0.747,0.0102,2025-05-01T10:34:07.968599
scroll_00091,4,0.5,2.0,sniper_pair,0.918,0.0102,2024-10-12T10:34:07.968610
scroll_00092,3,0.75,2.25,sniper_pair,0.847,0.014,2025-05-02T10:34:07.968621
scroll_00093,4,0.79,3.16,fireteam,0.84,0.0135,2024-05-19T10:34:07.968633
scroll_00094,6,0.81,4.86,platoon,1.212,0.0177,2025-05-05T10:34:07.968645
scroll_00095,6,0.98,5.88,company,1.475,0.0202,2024-05-25T10:34:07.968656
scroll_00096,4,0.73,2.92,fireteam,0.832,0.0152,2024-06-11T10:34:07.968666
scroll_00097,2,0.79,1.58,sniper_pair,0.758,0.0105,2024-06-01T10:34:07.968677
scroll_00098,2,0.91,1.82,sniper_pair,0.866,0.012,2024-06-20T10:34:07.968693
scroll_00099,2,0.87,1.74,sniper_pair,0.857,0.0121,2024-09-02T10:34:07.968710
scroll_00100,6,0.47,2.82,fireteam,0.899,0.0139,2024-09-05T10:34:07.968721
scroll_00101,2,0.74,1.48,sniper_pair,0.833,0.012,2024-08-10T10:34:07.968737
scroll_00102,4,0.9,3.6,squad,1.049,0.0181,2024-09-10T10:34:07.968762
scroll_00103,4,0.54,2.16,sniper_pair,0.835,0.0113,2024-10-11T10:34:07.968772
scroll_00104,4,0.99,3.96,squad,1.026,0.0165,2024-09-20T10:34:07.968785
scroll_00105,2,0.42,0.84,sniper_pair,0.848,0.0135,2024-06-02T10:34:07.968796
scroll_00106,3,0.83,2.4899999999999998,sniper_pair,0.869,0.0105,2025-01-10T10:34:07.968807
scroll_00107,3,0.74,2.2199999999999998,sniper_pair,0.827,0.0123,2024-10-22T10:34:07.968818
scroll_00108,6,0.94,5.64,company,1.557,0.0198,2025-02-18T10:34:07.968829
scroll_00109,2,0.5,1.0,sniper_pair,0.794,0.012,2025-04-16T10:34:07.968845
scroll_00110,5,0.6,3.0,fireteam,0.908,0.014,2025-04-24T10:34:07.968856
scroll_00111,5,0.57,2.8499999999999996,fireteam,0.876,0.0122,2025-03-14T10:34:07.968867
scroll_00112,5,0.88,4.4,squad,1.02,0.0171,2025-04-20T10:34:07.968877
scroll_00113,6,0.84,5.04,platoon,1.225,0.0192,2025-05-05T10:34:07.968888
scroll_00114,5,0.98,4.9,platoon,1.209,0.0182,2024-08-16T10:34:07.968898
scroll_00115,2,0.66,1.32,sniper_pair,0.854,0.012,2024-08-28T10:34:07.968908
scroll_00116,2,0.57,1.14,sniper_pair,0.8,0.0132,2025-05-06T10:34:07.968923
scroll_00117,6,0.65,3.9000000000000004,squad,0.978,0.018,2024-06-27T10:34:07.968941
scroll_00118,4,0.63,2.52,fireteam,0.958,0.013,2024-12-28T10:34:07.968960
scroll_00119,5,0.65,3.25,fireteam,0.898,0.0145,2024-07-02T10:34:07.968981
scroll_00120,3,0.94,2.82,fireteam,0.901,0.0139,2024-08-15T10:34:07.968992
scroll_00121,4,0.99,3.96,squad,0.947,0.0172,2024-07-19T10:34:07.969002
scroll_00122,5,0.72,3.5999999999999996,squad,1.073,0.0172,2025-01-01T10:34:07.969013
scroll_00123,2,0.53,1.06,sniper_pair,0.868,0.0125,2024-10-24T10:34:07.969023
scroll_00124,5,0.5,2.5,fireteam,0.945,0.0133,2024-08-23T10:34:07.969034
scroll_00125,4,0.91,3.64,squad,1.148,0.0182,2024-12-27T10:34:07.969063
scroll_00126,3,0.7,2.0999999999999996,sniper_pair,0.774,0.011,2025-03-30T10:34:07.969087
scroll_00127,5,0.89,4.45,squad,0.968,0.0145,2024-06-29T10:34:07.969099
scroll_00128,3,0.96,2.88,fireteam,0.91,0.0128,2024-07-10T10:34:07.969110
scroll_00129,2,0.52,1.04,sniper_pair,0.773,0.0113,2024-07-05T10:34:07.969129
scroll_00130,3,0.76,2.2800000000000002,sniper_pair,0.792,0.013,2024-08-01T10:34:07.969151
scroll_00131,2,0.74,1.48,sniper_pair,0.779,0.0112,2025-02-27T10:34:07.969162
scroll_00132,3,0.88,2.64,fireteam,0.861,0.014,2024-12-18T10:34:07.969172
scroll_00133,3,0.43,1.29,sniper_pair,0.836,0.0093,2024-06-27T10:34:07.969182
scroll_00134,2,0.67,1.34,sniper_pair,0.683,0.0126,2024-09-18T10:34:07.969196
scroll_00135,6,0.46,2.7600000000000002,fireteam,0.862,0.0138,2025-05-08T10:34:07.969214
scroll_00136,2,0.5,1.0,sniper_pair,0.743,0.012,2024-09-23T10:34:07.969232
scroll_00137,2,0.86,1.72,sniper_pair,0.849,0.0116,2024-06-19T10:34:07.969252
scroll_00138,5,0.75,3.75,squad,0.921,0.0181,2025-01-31T10:34:07.969266
scroll_00139,3,0.91,2.73,fireteam,0.8,0.0144,2025-05-03T10:34:07.969277
scroll_00140,2,0.48,0.96,sniper_pair,0.802,0.012,2024-10-11T10:34:07.969287
scroll_00141,4,0.89,3.56,squad,0.947,0.0159,2024-05-18T10:34:07.969306
scroll_00142,3,0.74,2.2199999999999998,sniper_pair,0.741,0.0115,2025-03-05T10:34:07.969317
scroll_00143,4,0.89,3.56,squad,1.079,0.018,2025-03-13T10:34:07.969328
scroll_00144,5,0.46,2.3000000000000003,sniper_pair,0.873,0.0134,2025-03-13T10:34:07.969338
scroll_00145,3,0.45,1.35,sniper_pair,0.815,0.0126,2024-10-29T10:34:07.969348
scroll_00146,4,0.89,3.56,squad,1.077,0.0174,2024-09-12T10:34:07.969358
scroll_00147,3,0.88,2.64,fireteam,0.894,0.0155,2024-06-26T10:34:07.969375
scroll_00148,6,0.84,5.04,platoon,1.163,0.0183,2025-03-06T10:34:07.969392
scroll_00149,4,0.7,2.8,fireteam,0.941,0.0136,2024-10-09T10:34:07.969404
scroll_00150,2,0.98,1.96,sniper_pair,0.719,0.0119,2025-02-17T10:34:07.969414
scroll_00151,5,0.59,2.9499999999999997,fireteam,0.89,0.015,2024-07-06T10:34:07.969424
scroll_00152,5,0.84,4.2,squad,1.05,0.0174,2024-05-18T10:34:07.969435
scroll_00153,5,0.97,4.85,platoon,1.211,0.0193,2025-04-10T10:34:07.969446
scroll_00154,6,0.8,4.800000000000001,platoon,1.248,0.019,2024-11-04T10:34:07.969456
scroll_00155,5,0.72,3.5999999999999996,squad,0.957,0.0164,2025-02-01T10:34:07.969467
scroll_00156,2,0.78,1.56,sniper_pair,0.735,0.0128,2024-11-02T10:34:07.969477
scroll_00157,5,0.81,4.050000000000001,squad,1.099,0.0177,2024-09-24T10:34:07.969489
scroll_00158,6,0.8,4.800000000000001,platoon,1.285,0.0188,2024-11-08T10:34:07.969499
scroll_00159,3,0.82,2.46,sniper_pair,0.899,0.0112,2025-04-25T10:34:07.969509
scroll_00160,5,0.7,3.5,squad,0.87,0.0176,2024-05-28T10:34:07.969519
scroll_00161,4,0.41,1.64,sniper_pair,0.816,0.0124,2024-09-17T10:34:07.969530
scroll_00162,3,0.53,1.59,sniper_pair,0.823,0.0117,2025-04-18T10:34:07.969540
scroll_00163,3,0.53,1.59,sniper_pair,0.814,0.0119,2024-12-31T10:34:07.969550
scroll_00164,4,0.82,3.28,fireteam,0.87,0.0145,2024-05-19T10:34:07.969560
scroll_00165,6,0.63,3.7800000000000002,squad,1.041,0.0191,2024-09-21T10:34:07.969570
scroll_00166,2,0.42,0.84,sniper_pair,0.774,0.0132,2024-10-24T10:34:07.969581
scroll_00167,3,0.47,1.41,sniper_pair,0.733,0.0118,2024-09-10T10:34:07.969591
scroll_00168,3,0.69,2.07,sniper_pair,0.755,0.0107,2024-09-01T10:34:07.969601
scroll_00169,5,0.9,4.5,platoon,1.146,0.0187,2025-04-18T10:34:07.969613
scroll_00170,6,0.8,4.800000000000001,platoon,1.241,0.0176,2025-02-27T10:34:07.969632
scroll_00171,2,0.74,1.48,sniper_pair,0.798,0.0141,2024-06-19T10:34:07.969646
scroll_00172,3,0.52,1.56,sniper_pair,0.914,0.0115,2024-05-23T10:34:07.969656
scroll_00173,2,0.96,1.92,sniper_pair,0.768,0.0144,2024-11-11T10:34:07.969667
scroll_00174,4,0.83,3.32,fireteam,0.901,0.0137,2025-02-17T10:34:07.969678
scroll_00175,6,0.83,4.9799999999999995,platoon,1.141,0.0205,2024-12-03T10:34:07.969688
scroll_00176,5,0.61,3.05,fireteam,0.943,0.0144,2024-09-04T10:34:07.969698
scroll_00177,6,0.93,5.58,company,1.409,0.0187,2024-07-22T10:34:07.969709
scroll_00178,4,0.95,3.8,squad,1.016,0.0176,2024-12-02T10:34:07.969719
scroll_00179,2,0.67,1.34,sniper_pair,0.749,0.0128,2025-04-10T10:34:07.969729
scroll_00180,4,0.99,3.96,squad,1.04,0.0166,2024-08-20T10:34:07.969744
scroll_00181,4,0.49,1.96,sniper_pair,0.801,0.0116,2024-12-21T10:34:07.969766
scroll_00182,4,0.96,3.84,squad,1.024,0.017,2024-07-09T10:34:07.969786
scroll_00183,3,0.72,2.16,sniper_pair,0.818,0.0114,2024-05-30T10:34:07.969799
scroll_00184,6,0.53,3.18,fireteam,0.865,0.0135,2025-04-03T10:34:07.969809
scroll_00185,4,0.87,3.48,fireteam,0.846,0.0142,2025-02-05T10:34:07.969824
scroll_00186,6,0.81,4.86,platoon,1.185,0.0189,2025-01-10T10:34:07.969843
scroll_00187,5,0.68,3.4000000000000004,fireteam,0.954,0.0127,2024-05-22T10:34:07.969854
scroll_00188,6,0.85,5.1,platoon,1.163,0.0182,2024-06-15T10:34:07.969864
scroll_00189,3,0.67,2.0100000000000002,sniper_pair,0.836,0.011,2024-11-08T10:34:07.969874
scroll_00190,5,0.42,2.1,sniper_pair,0.916,0.0134,2024-08-25T10:34:07.969885
scroll_00191,2,0.48,0.96,sniper_pair,0.784,0.0116,2024-11-15T10:34:07.969895
scroll_00192,3,0.42,1.26,sniper_pair,0.826,0.0122,2024-08-02T10:34:07.969910
scroll_00193,4,0.67,2.68,fireteam,0.923,0.0139,2025-01-20T10:34:07.969921
scroll_00194,3,0.44,1.32,sniper_pair,0.78,0.012,2025-05-11T10:34:07.969931
scroll_00195,4,0.73,2.92,fireteam,0.946,0.0129,2025-01-10T10:34:07.969941
scroll_00196,5,0.84,4.2,squad,1.008,0.0165,2024-06-14T10:34:07.969952
scroll_00197,3,0.43,1.29,sniper_pair,0.692,0.0116,2024-05-19T10:34:07.969962
scroll_00198,4,0.86,3.44,fireteam,0.908,0.0145,2024-07-06T10:34:07.969972
scroll_00199,6,0.95,5.699999999999999,company,1.496,0.0188,2024-06-19T10:34:07.969982
scroll_00200,5,0.55,2.75,fireteam,0.841,0.0141,2024-12-11T10:34:07.969993
scroll_00201,3,0.48,1.44,sniper_pair,0.831,0.0103,2024-12-20T10:34:07.970009
scroll_00202,2,0.4,0.8,sniper_pair,0.784,0.0115,2025-04-13T10:34:07.970028
scroll_00203,3,0.63,1.8900000000000001,sniper_pair,0.894,0.0117,2024-10-23T10:34:07.970053
scroll_00204,6,0.58,3.4799999999999995,fireteam,0.958,0.0148,2025-04-09T10:34:07.970064
scroll_00205,3,0.56,1.6800000000000002,sniper_pair,0.778,0.0098,2025-02-16T10:34:07.970074
scroll_00206,2,0.61,1.22,sniper_pair,0.831,0.0103,2024-06-22T10:34:07.970085
scroll_00207,4,0.55,2.2,sniper_pair,0.804,0.0114,2025-01-10T10:34:07.970094
scroll_00208,6,0.66,3.96,squad,0.986,0.0189,2024-08-07T10:34:07.970105
scroll_00209,4,0.99,3.96,squad,1.005,0.0172,2024-06-05T10:34:07.970115
scroll_00210,4,0.62,2.48,sniper_pair,0.873,0.0117,2024-07-03T10:34:07.970125
scroll_00211,6,0.6,3.5999999999999996,squad,0.972,0.0178,2024-07-27T10:34:07.970136
scroll_00212,2,1.0,2.0,sniper_pair,0.782,0.0115,2025-05-04T10:34:07.970146
scroll_00213,6,0.72,4.32,squad,0.999,0.0173,2024-06-23T10:34:07.970157
scroll_00214,3,0.68,2.04,sniper_pair,0.744,0.0116,2024-09-26T10:34:07.970167
scroll_00215,5,0.57,2.8499999999999996,fireteam,0.897,0.0131,2024-09-23T10:34:07.970177
scroll_00216,4,0.8,3.2,fireteam,0.86,0.0142,2025-02-10T10:34:07.970191
scroll_00217,6,0.59,3.54,squad,1.029,0.0164,2024-07-21T10:34:07.970221
scroll_00218,3,0.91,2.73,fireteam,0.748,0.0149,2024-06-08T10:34:07.970232
scroll_00219,6,0.76,4.5600000000000005,platoon,1.21,0.0184,2024-11-04T10:34:07.970242
scroll_00220,3,0.8,2.4000000000000004,sniper_pair,0.812,0.0115,2024-12-07T10:34:07.970252
scroll_00221,3,0.93,2.79,fireteam,0.791,0.0159,2025-01-05T10:34:07.970263
scroll_00222,3,0.7,2.0999999999999996,sniper_pair,0.757,0.0129,2025-02-23T10:34:07.970277
scroll_00223,6,0.88,5.28,platoon,1.269,0.0183,2025-05-13T10:34:07.970295
scroll_00224,6,0.88,5.28,platoon,1.263,0.019,2024-09-18T10:34:07.970314
scroll_00225,2,0.92,1.84,sniper_pair,0.774,0.0131,2024-12-21T10:34:07.970333
scroll_00226,5,0.83,4.1499999999999995,squad,0.926,0.0169,2024-12-31T10:34:07.970344
scroll_00227,5,0.49,2.45,sniper_pair,0.832,0.0115,2024-06-26T10:34:07.970354
scroll_00228,6,0.67,4.0200000000000005,squad,1.093,0.0189,2024-09-26T10:34:07.970364
scroll_00229,4,0.48,1.92,sniper_pair,0.789,0.0132,2025-01-09T10:34:07.970375
scroll_00230,2,0.47,0.94,sniper_pair,0.8,0.0122,2024-06-17T10:34:07.970385
scroll_00231,3,0.44,1.32,sniper_pair,0.737,0.0122,2025-04-06T10:34:07.970396
scroll_00232,4,0.73,2.92,fireteam,0.86,0.0144,2025-02-11T10:34:07.970413
scroll_00233,2,0.67,1.34,sniper_pair,0.784,0.0126,2024-09-25T10:34:07.970433
scroll_00234,5,0.62,3.1,fireteam,0.817,0.0145,2025-03-13T10:34:07.970444
scroll_00235,6,0.85,5.1,platoon,1.236,0.0207,2025-01-23T10:34:07.970454
scroll_00236,2,0.78,1.56,sniper_pair,0.765,0.0117,2024-05-19T10:34:07.970464
scroll_00237,2,0.6,1.2,sniper_pair,0.809,0.0128,2024-06-19T10:34:07.970475
scroll_00238,6,0.46,2.7600000000000002,fireteam,0.957,0.0143,2024-11-23T10:34:07.970485
scroll_00239,4,0.41,1.64,sniper_pair,0.83,0.0102,2025-01-11T10:34:07.970495
scroll_00240,4,0.42,1.68,sniper_pair,0.834,0.0118,2024-11-08T10:34:07.970506
scroll_00241,5,0.6,3.0,fireteam,0.862,0.0141,2024-12-10T10:34:07.970516
scroll_00242,3,0.84,2.52,fireteam,0.897,0.0131,2025-04-16T10:34:07.970529
scroll_00243,2,0.89,1.78,sniper_pair,0.786,0.0117,2025-04-26T10:34:07.970538
scroll_00244,5,0.47,2.3499999999999996,sniper_pair,0.77,0.0115,2024-12-16T10:34:07.970549
scroll_00245,4,0.62,2.48,sniper_pair,0.82,0.0125,2025-02-03T10:34:07.970559
scroll_00246,6,0.91,5.46,platoon,1.184,0.018,2024-11-16T10:34:07.970570
scroll_00247,3,0.96,2.88,fireteam,0.923,0.0149,2024-05-26T10:34:07.970580
scroll_00248,2,0.81,1.62,sniper_pair,0.877,0.0122,2025-03-30T10:34:07.970590
scroll_00249,6,0.78,4.68,platoon,1.068,0.0173,2024-12-17T10:34:07.970601
scroll_00250,2,0.87,1.74,sniper_pair,0.761,0.0122,2024-07-26T10:34:07.970611
scroll_00251,2,0.56,1.12,sniper_pair,0.791,0.0115,2024-08-17T10:34:07.970622
scroll_00252,5,0.91,4.55,platoon,1.204,0.0176,2024-06-24T10:34:07.970632
scroll_00253,4,0.46,1.84,sniper_pair,0.786,0.0117,2024-08-21T10:34:07.970647
scroll_00254,2,0.43,0.86,sniper_pair,0.821,0.0124,2025-02-04T10:34:07.970674
scroll_00255,4,0.69,2.76,fireteam,0.857,0.0149,2024-09-06T10:34:07.970685
scroll_00256,3,0.49,1.47,sniper_pair,0.802,0.0118,2025-02-07T10:34:07.970695
scroll_00257,2,0.44,0.88,sniper_pair,0.786,0.0127,2025-01-22T10:34:07.970706
scroll_00258,3,0.79,2.37,sniper_pair,0.862,0.0128,2025-01-29T10:34:07.970716
scroll_00259,3,0.75,2.25,sniper_pair,0.806,0.0125,2024-12-31T10:34:07.970726
scroll_00260,4,0.76,3.04,fireteam,0.906,0.0136,2025-01-08T10:34:07.970736
scroll_00261,4,0.65,2.6,fireteam,0.942,0.0162,2025-01-31T10:34:07.970746
scroll_00262,4,0.82,3.28,fireteam,0.917,0.014,2024-06-08T10:34:07.970757
scroll_00263,3,0.7,2.0999999999999996,sniper_pair,0.773,0.0131,2024-12-03T10:34:07.970768
scroll_00264,3,0.94,2.82,fireteam,0.837,0.0128,2024-12-06T10:34:07.970778
scroll_00265,3,0.6,1.7999999999999998,sniper_pair,0.824,0.0119,2024-05-21T10:34:07.970789
scroll_00266,2,0.48,0.96,sniper_pair,0.838,0.0117,2025-01-09T10:34:07.970800
scroll_00267,3,0.89,2.67,fireteam,0.829,0.0148,2024-11-19T10:34:07.970810
scroll_00268,6,0.99,5.9399999999999995,company,1.601,0.0187,2024-11-15T10:34:07.970820
scroll_00269,6,0.51,3.06,fireteam,0.924,0.015,2025-02-21T10:34:07.970831
scroll_00270,4,0.76,3.04,fireteam,0.859,0.0124,2024-06-07T10:34:07.970843
scroll_00271,5,0.65,3.25,fireteam,0.922,0.0143,2025-01-23T10:34:07.970861
scroll_00272,4,0.85,3.4,fireteam,0.847,0.014,2024-10-11T10:34:07.970879
scroll_00273,3,0.74,2.2199999999999998,sniper_pair,0.834,0.011,2024-09-19T10:34:07.970889
scroll_00274,6,0.98,5.88,company,1.46,0.0214,2025-01-10T10:34:07.970900
scroll_00275,5,0.94,4.699999999999999,platoon,1.177,0.0199,2024-08-22T10:34:07.970911
scroll_00276,3,0.91,2.73,fireteam,0.982,0.0138,2024-09-22T10:34:07.970922
scroll_00277,3,0.5,1.5,sniper_pair,0.758,0.0117,2024-09-29T10:34:07.970932
scroll_00278,6,0.6,3.5999999999999996,squad,0.941,0.0178,2024-07-19T10:34:07.970942
scroll_00279,3,0.97,2.91,fireteam,0.9,0.0142,2025-02-26T10:34:07.970953
scroll_00280,4,0.53,2.12,sniper_pair,0.739,0.0117,2024-08-07T10:34:07.970963
scroll_00281,5,0.55,2.75,fireteam,0.92,0.0139,2024-11-19T10:34:07.970973
scroll_00282,6,0.96,5.76,company,1.488,0.0193,2024-06-30T10:34:07.970985
scroll_00283,5,0.91,4.55,platoon,1.227,0.0164,2025-04-21T10:34:07.970995
scroll_00284,4,0.52,2.08,sniper_pair,0.798,0.0121,2025-01-11T10:34:07.971005
scroll_00285,5,0.76,3.8,squad,0.955,0.0157,2024-08-03T10:34:07.971015
scroll_00286,2,0.9,1.8,sniper_pair,0.744,0.0124,2025-02-25T10:34:07.971025
scroll_00287,5,0.99,4.95,platoon,1.177,0.0182,2025-01-17T10:34:07.971035
