host,timestamp,scrolls_processed,avg_latency_ms,cache_hit_ratio,energy_per_scroll_w,dag_avg_depth,dag_fork_avg
mars_rover,2024-12-07T10:14:32.190138,828343,1.45,0.9836,0.0141,6,2.22
mars_rover,2024-12-08T10:14:32.190145,838452,0.935,0.9767,0.0168,6,1.97
mars_rover,2024-12-09T10:14:32.190153,853101,0.709,0.9829,0.0152,5,2.2
mars_rover,2024-12-10T10:14:32.190165,806626,0.817,0.9826,0.0189,5,2.1
mars_rover,2024-12-11T10:14:32.190172,850653,0.93,0.9919,0.015,5,2.23
mars_rover,2024-12-12T10:14:32.190180,799034,1.418,0.9726,0.0174,5,2.43
mars_rover,2024-12-13T10:14:32.190188,877497,1.415,0.9776,0.0158,6,2.06
mars_rover,2024-12-14T10:14:32.190198,864821,1.113,0.9728,0.0176,7,2.08
mars_rover,2024-12-15T10:14:32.190211,788107,1.049,0.9877,0.0197,4,2.2
mars_rover,2024-12-16T10:14:32.190221,873594,1.251,0.9935,0.0168,5,2.32
mars_rover,2024-12-17T10:14:32.190229,844318,1.443,0.9894,0.015,4,2.31
mars_rover,2024-12-18T10:14:32.190236,809936,1.5,0.9859,0.0158,4,2.4
mars_rover,2024-12-19T10:14:32.190248,821870,1.177,0.9644,0.0164,4,1.82
mars_rover,2024-12-20T10:14:32.190261,841698,0.992,0.9795,0.0143,5,2.15
mars_rover,2024-12-21T10:14:32.190272,857608,1.322,0.9775,0.0169,3,2.13
mars_rover,2024-12-22T10:14:32.190279,826230,0.898,0.9615,0.0147,5,2.39
mars_rover,2024-12-23T10:14:32.190287,841634,0.902,0.981,0.0161,4,2.48
mars_rover,2024-12-24T10:14:32.190298,818658,0.933,0.9924,0.016,4,2.04
mars_rover,2024-12-25T10:14:32.190311,803995,1.187,0.987,0.0168,3,1.98
mars_rover,2024-12-26T10:14:32.190321,829737,0.947,0.9904,0.0141,3,1.83
mars_rover,2024-12-27T10:14:32.190329,859352,1.375,0.9765,0.018,4,2.43
mars_rover,2024-12-28T10:14:32.190337,866382,1.126,0.9665,0.0181,3,2.36
mars_rover,2024-12-29T10:14:32.190344,847226,0.726,0.9653,0.0149,7,2.17
mars_rover,2024-12-30T10:14:32.190352,809887,1.176,0.9861,0.0194,5,2.27
mars_rover,2024-12-31T10:14:32.190359,871451,1.247,0.9708,0.0158,5,2.36
mars_rover,2025-01-01T10:14:32.190366,812416,1.338,0.9758,0.0192,7,2.4
mars_rover,2025-01-02T10:14:32.190374,785863,1.022,0.9698,0.0192,4,2.48
mars_rover,2025-01-03T10:14:32.190381,782919,1.089,0.9787,0.0194,5,2.26
mars_rover,2025-01-04T10:14:32.190388,859525,1.423,0.9843,0.0175,4,1.84
mars_rover,2025-01-05T10:14:32.190396,809498,0.956,0.9764,0.0196,7,1.97
mars_rover,2025-01-06T10:14:32.190403,815150,1.381,0.9926,0.0183,4,2.05
mars_rover,2025-01-07T10:14:32.190411,867524,1.365,0.979,0.0187,3,1.93
mars_rover,2025-01-08T10:14:32.190418,798193,1.315,0.9696,0.0148,7,2.46
mars_rover,2025-01-09T10:14:32.190426,790116,1.144,0.9663,0.0171,4,2.24
mars_rover,2025-01-10T10:14:32.190433,878836,0.96,0.9681,0.0196,3,2.35
mars_rover,2025-01-11T10:14:32.190441,786195,1.177,0.9867,0.0187,6,2.04
mars_rover,2025-01-12T10:14:32.190449,822915,1.369,0.9646,0.0161,5,2.0
mars_rover,2025-01-13T10:14:32.190456,835761,0.935,0.9687,0.0142,5,1.96
mars_rover,2025-01-14T10:14:32.190464,828342,1.063,0.9665,0.0188,6,2.47
mars_rover,2025-01-15T10:14:32.190472,856450,1.484,0.9928,0.0198,4,2.08
mars_rover,2025-01-16T10:14:32.190485,807788,1.358,0.9674,0.0172,3,1.86
mars_rover,2025-01-17T10:14:32.190497,837917,0.739,0.9946,0.0186,5,2.02
mars_rover,2025-01-18T10:14:32.190511,862822,0.827,0.9835,0.0194,7,2.16
mars_rover,2025-01-19T10:14:32.190519,814673,1.355,0.9773,0.0182,4,1.99
mars_rover,2025-01-20T10:14:32.190526,847226,1.027,0.9912,0.0181,7,2.27
mars_rover,2025-01-21T10:14:32.190535,848866,1.132,0.9907,0.0167,3,2.11
mars_rover,2025-01-22T10:14:32.190542,819856,0.705,0.9911,0.014,7,2.17
mars_rover,2025-01-23T10:14:32.190555,837282,0.939,0.9939,0.0153,5,2.04
mars_rover,2025-01-24T10:14:32.190568,828001,1.409,0.9768,0.0173,3,1.98
mars_rover,2025-01-25T10:14:32.190591,840341,0.768,0.9885,0.0197,5,2.25
mars_rover,2025-01-26T10:14:32.190599,863725,0.809,0.9611,0.0186,3,2.35
mars_rover,2025-01-27T10:14:32.190607,870792,1.047,0.9653,0.017,3,2.07
mars_rover,2025-01-28T10:14:32.190619,875460,0.794,0.9905,0.0165,5,1.96
mars_rover,2025-01-29T10:14:32.190640,865052,1.011,0.9701,0.017,6,1.86
mars_rover,2025-01-30T10:14:32.190650,870395,1.149,0.9789,0.0193,4,2.37
mars_rover,2025-01-31T10:14:32.190661,796968,0.938,0.9795,0.0144,6,2.12
mars_rover,2025-02-01T10:14:32.190669,862111,1.096,0.9663,0.0142,6,1.9
mars_rover,2025-02-02T10:14:32.190677,804626,0.999,0.9653,0.0194,5,2.48
mars_rover,2025-02-03T10:14:32.190684,865821,1.365,0.9672,0.0194,5,2.23
mars_rover,2025-02-04T10:14:32.190695,861262,0.969,0.9701,0.0177,6,1.91
mars_rover,2025-02-05T10:14:32.190708,850711,1.32,0.9918,0.0157,5,2.04
mars_rover,2025-02-06T10:14:32.190721,831670,1.026,0.9645,0.0198,4,2.1
mars_rover,2025-02-07T10:14:32.190730,854022,0.844,0.962,0.0163,4,2.06
mars_rover,2025-02-08T10:14:32.190739,799465,1.027,0.9629,0.0149,4,2.23
mars_rover,2025-02-09T10:14:32.190746,815909,1.315,0.9607,0.0164,4,2.39
mars_rover,2025-02-10T10:14:32.190754,799286,0.84,0.963,0.018,6,2.23
mars_rover,2025-02-11T10:14:32.190767,845104,1.035,0.9628,0.0141,4,2.32
mars_rover,2025-02-12T10:14:32.190780,784560,0.742,0.9638,0.0179,4,2.13
mars_rover,2025-02-13T10:14:32.190794,820359,0.892,0.9787,0.0141,3,2.08
mars_rover,2025-02-14T10:14:32.190807,846981,1.176,0.9725,0.0167,5,2.49
mars_rover,2025-02-15T10:14:32.190820,788181,1.281,0.9659,0.0172,4,2.2
mars_rover,2025-02-16T10:14:32.190829,846561,1.426,0.9878,0.016,6,2.42
mars_rover,2025-02-17T10:14:32.190837,880834,1.004,0.9694,0.0144,7,2.17
mars_rover,2025-02-18T10:14:32.190849,785292,0.935,0.9805,0.0146,3,2.1
mars_rover,2025-02-19T10:14:32.190862,819250,1.309,0.9704,0.0175,7,1.95
mars_rover,2025-02-20T10:14:32.190877,797911,0.787,0.9809,0.0196,4,2.18
mars_rover,2025-02-21T10:14:32.190889,792375,0.83,0.9744,0.0176,3,2.28
mars_rover,2025-02-22T10:14:32.190903,853893,0.868,0.9791,0.0199,4,1.95
mars_rover,2025-02-23T10:14:32.190911,862666,1.132,0.9675,0.0154,4,2.46
mars_rover,2025-02-24T10:14:32.190921,794243,1.409,0.9912,0.016,5,2.04
mars_rover,2025-02-25T10:14:32.190935,846069,1.028,0.9943,0.0193,6,2.08
mars_rover,2025-02-26T10:14:32.190950,783713,1.197,0.9786,0.0173,4,2.47
mars_rover,2025-02-27T10:14:32.190958,852847,0.828,0.9784,0.0171,4,2.35
mars_rover,2025-02-28T10:14:32.190966,819144,0.811,0.9728,0.0142,3,2.02
mars_rover,2025-03-01T10:14:32.190974,828596,1.452,0.9605,0.0183,3,2.35
mars_rover,2025-03-02T10:14:32.190981,831199,0.826,0.9632,0.0147,6,2.19
mars_rover,2025-03-03T10:14:32.190989,818081,0.976,0.975,0.0174,6,2.0
mars_rover,2025-03-04T10:14:32.190996,822890,1.319,0.9807,0.0162,5,2.33
mars_rover,2025-03-05T10:14:32.191004,809203,0.935,0.9706,0.0155,7,2.09
mars_rover,2025-03-06T10:14:32.191011,869781,0.939,0.9718,0.0181,5,2.08
mars_rover,2025-03-07T10:14:32.191018,870280,1.158,0.9605,0.0162,4,2.4
mars_rover,2025-03-08T10:14:32.191026,808000,1.265,0.9942,0.0158,5,2.36
mars_rover,2025-03-09T10:14:32.191033,875057,1.429,0.9816,0.0195,7,2.08
mars_rover,2025-03-10T10:14:32.191040,790244,1.303,0.9936,0.0154,3,2.13
mars_rover,2025-03-11T10:14:32.191048,820853,1.039,0.9834,0.0189,6,2.07
mars_rover,2025-03-12T10:14:32.191057,863422,1.22,0.9896,0.0174,4,1.84
mars_rover,2025-03-13T10:14:32.191070,788062,1.04,0.9866,0.0192,4,2.26
mars_rover,2025-03-14T10:14:32.191084,846575,0.96,0.9773,0.0162,7,2.33
mars_rover,2025-03-15T10:14:32.191094,874040,0.938,0.9932,0.018,4,2.04
mars_rover,2025-03-16T10:14:32.191102,833589,0.809,0.9718,0.0187,3,2.31
mars_rover,2025-03-17T10:14:32.191109,826950,1.251,0.9949,0.0194,6,2.16
mars_rover,2025-03-18T10:14:32.191116,804886,0.705,0.9655,0.0177,6,2.02
mars_rover,2025-03-19T10:14:32.191124,846470,1.316,0.9947,0.0148,4,2.17
mars_rover,2025-03-20T10:14:32.191131,860746,0.81,0.9627,0.0143,3,1.95
mars_rover,2025-03-21T10:14:32.191141,844759,1.352,0.9939,0.0164,3,2.5
mars_rover,2025-03-22T10:14:32.191157,836609,0.843,0.9753,0.0181,7,2.01
mars_rover,2025-03-23T10:14:32.191167,873954,1.205,0.9945,0.0156,4,1.82
mars_rover,2025-03-24T10:14:32.191175,870612,0.766,0.9801,0.0141,7,2.08
mars_rover,2025-03-25T10:14:32.191182,847519,1.47,0.968,0.0191,5,2.07
mars_rover,2025-03-26T10:14:32.191190,880499,1.434,0.977,0.0166,6,2.38
mars_rover,2025-03-27T10:14:32.191198,851615,1.493,0.9782,0.0172,4,1.91
mars_rover,2025-03-28T10:14:32.191205,860681,1.282,0.9838,0.0199,6,2.49
mars_rover,2025-03-29T10:14:32.191214,875922,0.798,0.9776,0.0173,5,2.2
mars_rover,2025-03-30T10:14:32.191221,784363,1.352,0.9822,0.0154,6,2.42
mars_rover,2025-03-31T10:14:32.191229,845257,1.014,0.9806,0.0141,6,2.46
mars_rover,2025-04-01T10:14:32.191236,795981,1.396,0.9931,0.016,6,2.18
mars_rover,2025-04-02T10:14:32.191244,814435,0.888,0.9866,0.0155,5,2.17
mars_rover,2025-04-03T10:14:32.191251,781348,1.378,0.9785,0.019,7,2.04
mars_rover,2025-04-04T10:14:32.191258,849786,0.925,0.9871,0.0155,6,2.09
mars_rover,2025-04-05T10:14:32.191266,859811,0.922,0.9908,0.0198,4,2.48
mars_rover,2025-04-06T10:14:32.191273,854017,1.098,0.9669,0.0172,3,1.93
mars_rover,2025-04-07T10:14:32.191281,791108,0.964,0.9608,0.0196,3,1.94
mars_rover,2025-04-08T10:14:32.191289,874874,1.165,0.9672,0.0186,5,1.99
mars_rover,2025-04-09T10:14:32.191297,819344,0.814,0.9904,0.0163,4,1.91
mars_rover,2025-04-10T10:14:32.191304,808652,1.141,0.9908,0.0175,7,1.9
mars_rover,2025-04-11T10:14:32.191311,862810,0.873,0.9821,0.0173,6,2.45
mars_rover,2025-04-12T10:14:32.191318,876747,1.197,0.9855,0.0181,4,2.29
mars_rover,2025-04-13T10:14:32.191326,851699,1.156,0.9942,0.0182,5,2.34
mars_rover,2025-04-14T10:14:32.191338,861930,0.763,0.9669,0.015,4,1.9
mars_rover,2025-04-15T10:14:32.191352,827928,1.341,0.9918,0.0163,5,2.44
mars_rover,2025-04-16T10:14:32.191361,871457,0.966,0.9838,0.0196,5,2.35
mars_rover,2025-04-17T10:14:32.191371,869532,1.444,0.9901,0.0191,3,2.04
mars_rover,2025-04-18T10:14:32.191384,803165,0.957,0.9771,0.0192,3,2.32
mars_rover,2025-04-19T10:14:32.191398,801185,0.956,0.9603,0.0155,7,1.89
mars_rover,2025-04-20T10:14:32.191423,867723,1.003,0.9854,0.015,6,2.37
mars_rover,2025-04-21T10:14:32.191431,825671,1.015,0.9807,0.018,7,1.97
mars_rover,2025-04-22T10:14:32.191439,849281,1.182,0.9723,0.0166,3,2.45
mars_rover,2025-04-23T10:14:32.191446,848130,1.303,0.9681,0.017,4,2.41
mars_rover,2025-04-24T10:14:32.191454,803079,1.246,0.9708,0.019,5,2.4
mars_rover,2025-04-25T10:14:32.191461,856995,0.738,0.9624,0.0184,4,2.05
mars_rover,2025-04-26T10:14:32.191469,822483,1.034,0.9754,0.0181,4,2.21
mars_rover,2025-04-27T10:14:32.191476,862843,1.016,0.9712,0.0151,6,2.21
mars_rover,2025-04-28T10:14:32.191484,843152,1.27,0.9893,0.0195,7,2.33
mars_rover,2025-04-29T10:14:32.191491,812742,1.339,0.9746,0.0145,7,2.0
mars_rover,2025-04-30T10:14:32.191499,827191,1.449,0.9693,0.0194,5,2.05
mars_rover,2025-05-01T10:14:32.191506,810530,1.323,0.9762,0.0169,6,1.84
mars_rover,2025-05-02T10:14:32.191514,864644,1.111,0.982,0.018,3,2.05
mars_rover,2025-05-03T10:14:32.191521,823526,0.957,0.9873,0.0169,4,1.88
mars_rover,2025-05-04T10:14:32.191529,814461,0.783,0.9874,0.0184,6,2.14
mars_rover,2025-05-05T10:14:32.191537,786130,1.288,0.9701,0.0177,3,2.36
mars_rover,2025-05-06T10:14:32.191547,825586,0.864,0.9718,0.0188,3,1.94
mars_rover,2025-05-07T10:14:32.191560,824422,0.869,0.9759,0.0175,6,1.89
mars_rover,2025-05-08T10:14:32.191570,857991,1.381,0.9937,0.0168,6,2.28
mars_rover,2025-05-09T10:14:32.191578,875571,1.264,0.9762,0.0186,7,1.86
mars_rover,2025-05-10T10:14:32.191585,831597,1.097,0.9908,0.0147,3,2.15
mars_rover,2025-05-11T10:14:32.191592,792189,1.082,0.9823,0.0168,6,2.23
mars_rover,2025-05-12T10:14:32.191604,808790,1.053,0.9879,0.017,7,2.41
mars_rover,2025-05-13T10:14:32.191612,823212,0.992,0.9741,0.0192,4,2.19
mars_rover,2025-05-14T10:14:32.191625,799979,1.189,0.9607,0.0196,7,2.37
mars_rover,2025-05-15T10:14:32.191637,820237,1.394,0.9604,0.0161,7,2.19
mars_rover,2024-05-16T10:14:32.191649,1087112,1.131,0.9882,0.0149,7,2.37
mars_rover,2024-05-17T10:14:32.191657,1015922,0.989,0.9823,0.017,6,2.08
mars_rover,2024-05-18T10:14:32.191665,1075535,1.352,0.9746,0.017,7,2.24
mars_rover,2024-05-19T10:14:32.191672,1030431,1.347,0.9679,0.0198,5,2.37
mars_rover,2024-05-20T10:14:32.191681,1096372,1.5,0.9744,0.0196,6,1.8
mars_rover,2024-05-21T10:14:32.191694,1069549,0.933,0.9749,0.0158,7,2.11
mars_rover,2024-05-22T10:14:32.191712,1062905,1.054,0.9661,0.0149,3,1.97
mars_rover,2024-05-23T10:14:32.191721,1065213,0.728,0.9912,0.0191,4,2.09
mars_rover,2024-05-24T10:14:32.191728,1067362,1.32,0.992,0.0142,3,1.82
mars_rover,2024-05-25T10:14:32.191741,1015644,0.79,0.9715,0.0197,4,1.88
mars_rover,2024-05-26T10:14:32.191754,1091175,1.03,0.9615,0.0149,4,2.11
mars_rover,2024-05-27T10:14:32.191762,1037138,1.12,0.9818,0.0176,6,2.09
mars_rover,2024-05-28T10:14:32.191769,1088686,0.712,0.9931,0.0184,4,1.99
mars_rover,2024-05-29T10:14:32.191777,1043018,1.423,0.9853,0.0194,4,1.93
mars_rover,2024-05-30T10:14:32.191785,1101580,1.217,0.9733,0.0154,4,2.43
mars_rover,2024-05-31T10:14:32.191792,1018223,1.032,0.9839,0.0176,3,2.11
mars_rover,2024-06-01T10:14:32.191800,1103398,1.299,0.993,0.018,6,1.95
mars_rover,2024-06-02T10:14:32.191808,1098706,1.484,0.9725,0.0158,6,1.86
mars_rover,2024-06-03T10:14:32.191816,1051652,0.94,0.9813,0.0162,5,2.07
mars_rover,2024-06-04T10:14:32.191823,1008708,1.002,0.9827,0.0196,4,2.38
mars_rover,2024-06-05T10:14:32.191832,1017774,0.875,0.9709,0.0146,7,2.36
mars_rover,2024-06-06T10:14:32.191845,1056244,0.796,0.9919,0.016,5,1.82
mars_rover,2024-06-07T10:14:32.191859,1096588,0.869,0.9885,0.0181,4,2.13
mars_rover,2024-06-08T10:14:32.191869,1058677,1.375,0.9837,0.0156,5,2.08
mars_rover,2024-06-09T10:14:32.191876,1067365,1.285,0.9805,0.0147,5,2.39
mars_rover,2024-06-10T10:14:32.191884,1080755,1.409,0.9857,0.0151,3,2.33
mars_rover,2024-06-11T10:14:32.191891,1074270,0.986,0.9793,0.0168,5,2.24
mars_rover,2024-06-12T10:14:32.191899,1044061,1.167,0.9883,0.0164,4,1.85
mars_rover,2024-06-13T10:14:32.191910,1093616,1.304,0.9643,0.0142,4,2.37
mars_rover,2024-06-14T10:14:32.191922,1065858,0.821,0.9735,0.0161,6,2.33
mars_rover,2024-06-15T10:14:32.191933,1050427,1.134,0.9803,0.0199,5,1.87
mars_rover,2024-06-16T10:14:32.191941,1054761,0.891,0.9698,0.0191,6,2.44
mars_rover,2024-06-17T10:14:32.191948,1091997,0.819,0.9895,0.0191,4,1.88
mars_rover,2024-06-18T10:14:32.191960,1027583,1.38,0.9931,0.018,5,2.09
mars_rover,2024-06-19T10:14:32.191975,1023830,1.183,0.9701,0.0158,6,2.14
mars_rover,2024-06-20T10:14:32.191988,1096144,0.738,0.9874,0.0155,6,1.96
mars_rover,2024-06-21T10:14:32.192003,1085603,1.03,0.9688,0.0177,6,2.32
mars_rover,2024-06-22T10:14:32.192011,1089665,1.051,0.9904,0.0164,6,2.39
mars_rover,2024-06-23T10:14:32.192019,1029276,0.784,0.9815,0.0148,7,2.33
mars_rover,2024-06-24T10:14:32.192028,1011439,1.351,0.9904,0.0169,3,2.05
mars_rover,2024-06-25T10:14:32.192036,1084184,0.991,0.9782,0.0183,6,2.16
mars_rover,2024-06-26T10:14:32.192043,1029545,1.16,0.9748,0.0147,5,2.3
mars_rover,2024-06-27T10:14:32.192051,1012346,0.918,0.9756,0.0166,4,2.44
mars_rover,2024-06-28T10:14:32.192058,1033522,1.196,0.9945,0.0147,7,2.37
mars_rover,2024-06-29T10:14:32.192066,1011797,0.931,0.9823,0.0155,4,1.92
mars_rover,2024-06-30T10:14:32.192073,1101726,0.919,0.9709,0.0186,4,2.42
mars_rover,2024-07-01T10:14:32.192082,1095930,1.459,0.978,0.0147,5,2.27
mars_rover,2024-07-02T10:14:32.192090,1027784,1.312,0.9754,0.0197,5,2.01
mars_rover,2024-07-03T10:14:32.192098,1034596,1.152,0.9862,0.0163,7,2.12
mars_rover,2024-07-04T10:14:32.192105,1024216,1.324,0.9933,0.0198,6,2.27
mars_rover,2024-07-05T10:14:32.192112,1049414,0.907,0.9888,0.0159,4,2.47
mars_rover,2024-07-06T10:14:32.192119,1099447,1.195,0.9608,0.0144,5,1.82
mars_rover,2024-07-07T10:14:32.192127,1079635,1.448,0.9822,0.0173,3,2.17
mars_rover,2024-07-08T10:14:32.192139,1041680,0.943,0.9855,0.0174,7,2.24
mars_rover,2024-07-09T10:14:32.192152,1093267,0.801,0.9685,0.0186,7,2.03
mars_rover,2024-07-10T10:14:32.192165,1094403,1.475,0.9605,0.0152,5,2.27
mars_rover,2024-07-11T10:14:32.192176,1095850,0.858,0.98,0.0176,5,2.35
mars_rover,2024-07-12T10:14:32.192183,1062697,1.431,0.9747,0.0148,4,2.13
mars_rover,2024-07-13T10:14:32.192191,1027739,1.153,0.9649,0.0155,5,1.98
mars_rover,2024-07-14T10:14:32.192198,1022553,1.019,0.9904,0.0154,4,2.21
mars_rover,2024-07-15T10:14:32.192206,1106444,0.941,0.9898,0.0171,6,1.95
mars_rover,2024-07-16T10:14:32.192213,1020301,1.28,0.9853,0.0184,7,2.38
mars_rover,2024-07-17T10:14:32.192221,1026066,0.909,0.9687,0.0191,3,2.36
mars_rover,2024-07-18T10:14:32.192228,1041091,0.947,0.9835,0.0187,5,2.28
mars_rover,2024-07-19T10:14:32.192237,1099372,1.311,0.9946,0.0185,5,2.01
mars_rover,2024-07-20T10:14:32.192244,1053421,0.784,0.9856,0.0151,3,1.89
mars_rover,2024-07-21T10:14:32.192251,1034801,1.267,0.9759,0.0152,4,1.89
mars_rover,2024-07-22T10:14:32.192259,1105030,1.243,0.964,0.02,4,2.04
mars_rover,2024-07-23T10:14:32.192267,1060587,1.005,0.9736,0.0175,4,2.08
mars_rover,2024-07-24T10:14:32.192274,1028318,0.791,0.9694,0.0185,6,1.84
mars_rover,2024-07-25T10:14:32.192282,1057017,0.724,0.9827,0.018,3,2.46
mars_rover,2024-07-26T10:14:32.192289,1084865,1.402,0.9894,0.0151,5,2.09
mars_rover,2024-07-27T10:14:32.192298,1035972,0.745,0.9866,0.0198,4,1.97
mars_rover,2024-07-28T10:14:32.192305,1087327,1.124,0.9833,0.0157,7,2.02
mars_rover,2024-07-29T10:14:32.192314,1101113,1.128,0.9776,0.019,6,2.11
mars_rover,2024-07-30T10:14:32.192321,1101244,1.377,0.9928,0.019,3,1.84
mars_rover,2024-07-31T10:14:32.192645,1035481,0.775,0.9906,0.0191,3,1.91
mars_rover,2024-08-01T10:14:32.192668,1103774,0.842,0.971,0.0142,5,2.45
mars_rover,2024-08-02T10:14:32.192678,1083648,1.431,0.973,0.0182,7,2.08
mars_rover,2024-08-03T10:14:32.192687,1051999,1.191,0.9675,0.0154,4,2.4
mars_rover,2024-08-04T10:14:32.192696,1086234,0.772,0.9676,0.0151,6,1.95
mars_rover,2024-08-05T10:14:32.192705,1012562,0.877,0.9654,0.0178,4,2.46
mars_rover,2024-08-06T10:14:32.192714,1017096,1.425,0.9635,0.0178,5,2.42
mars_rover,2024-08-07T10:14:32.192722,1054690,0.816,0.9627,0.0146,3,1.87
mars_rover,2024-08-08T10:14:32.192729,1093802,1.05,0.9794,0.0193,3,2.25
mars_rover,2024-08-09T10:14:32.192737,1091148,1.003,0.9646,0.0144,3,2.03
mars_rover,2024-08-10T10:14:32.192744,1074227,1.146,0.9638,0.0144,3,2.17
mars_rover,2024-08-11T10:14:32.192752,1050171,1.403,0.975,0.0197,5,2.47
mars_rover,2024-08-12T10:14:32.192759,1047494,0.775,0.9861,0.0155,6,2.31
mars_rover,2024-08-13T10:14:32.192769,1104049,1.242,0.9899,0.0159,4,2.16
