scroll_id,class,glyphs,execution_time_ms,coherence,timestamp
scroll_7bf9733d,crypto,🜅🜰🜰,0.9278,0.9555,2025-05-16T07:41:23
scroll_bb6c70f2,llm,🜁🜄🜁🜋,0.9288,0.9518,2025-05-16T19:57:29
scroll_ffb646c2,llm,🜁🜰🜅🔷🜄🔷,0.8766,0.9597,2025-05-16T23:23:54
scroll_7b4624a9,robotics,🜃🜌🜋🜃🜌🜄,0.9724,0.9895,2025-05-16T15:10:09
scroll_e5dacd4d,crypto,🜌🜁🜅🜌🜋🜅,1.1182,0.9759,2025-05-16T00:30:07
scroll_87f83656,robotics,🜄🜋🜁,1.0903,0.973,2025-05-16T20:59:06
scroll_f30b2e3c,crypto,🜁🜰🜁🜌,1.0574,0.9861,2025-05-16T12:00:51
scroll_fc91664f,crypto,🜁🜋🔷🜋🜰,1.1391,0.9712,2025-05-16T10:49:15
scroll_6e6300bf,llm,🜁🜋🜌🜌🜌,1.0735,0.9548,2025-05-16T00:10:26
scroll_69165caf,robotics,🜰🜅🜌🜋🜰,0.915,0.9784,2025-05-16T20:50:26
scroll_60a22096,llm,🜋🜋🜋🜄,0.9322,0.9633,2025-05-16T21:05:06
scroll_bed06d17,llm,🜃🜄🜄🜅,1.0052,0.9677,2025-05-16T08:48:00
scroll_f1026acc,crypto,🜁🔷🜅🜰🜌,1.0143,0.9731,2025-05-16T14:35:07
scroll_cb0f6c34,robotics,🜌🜅🔷🔷🜁,1.0665,0.9501,2025-05-16T19:47:42
scroll_544be1d8,llm,🜄🜰🜅🜁🔷🜅,1.1497,0.9818,2025-05-16T19:58:38
scroll_5d17a7b6,llm,🜌🜃🜰,0.8749,0.9779,2025-05-16T06:26:54
scroll_80f97014,robotics,🜁🜋🜃,1.1779,0.963,2025-05-16T00:01:50
scroll_35ac916f,robotics,🔷🜁🜃🜅🜰,0.8633,0.9502,2025-05-16T06:29:57
scroll_c436b676,crypto,🜁🜄🜁,1.242,0.9526,2025-05-16T22:37:46
scroll_048f13cf,robotics,🜌🜌🜋,1.2,0.9795,2025-05-16T15:58:13
scroll_9577e1c3,llm,🔷🜃🜋🜰,1.0857,0.9738,2025-05-16T12:29:14
scroll_caf1806d,llm,🜄🜌🜅🜁,1.2467,0.9599,2025-05-16T17:14:45
scroll_a2975349,llm,🜰🜌🜋🜰🜅🜰,1.064,0.9604,2025-05-16T05:52:55
scroll_bde5fc33,robotics,🜋🔷🜰🜄,1.1097,0.9837,2025-05-16T05:38:10
scroll_60fa47ef,robotics,🜅🜄🜋,0.8725,0.9613,2025-05-16T09:42:05
scroll_19276626,robotics,🜁🜅🜅🜅,0.8601,0.961,2025-05-16T23:22:33
scroll_b3321c49,crypto,🜋🜌🜄🔷🜰,0.8889,0.9667,2025-05-16T14:05:03
scroll_87479fc5,llm,🜅🜃🔷🔷🜅,1.0574,0.9548,2025-05-16T18:40:31
scroll_c0a207c0,robotics,🜅🔷🜁🜃🔷🜰,0.8711,0.9676,2025-05-16T22:27:46
scroll_3a4a4e6b,llm,🜌🜅🜌🜄🔷,0.8781,0.9678,2025-05-16T04:32:01
scroll_6f71a8ac,crypto,🜃🔷🔷🜄🜄🔷,1.027,0.9559,2025-05-16T08:33:48
scroll_3d1c413f,crypto,🜄🜋🜋🜃🜁,1.0266,0.9834,2025-05-16T08:08:15
scroll_9dd87b92,llm,🜰🔷🜰🜋🜅,1.1207,0.9597,2025-05-16T23:06:04
scroll_b22c99d3,llm,🜋🜁🜃🜃,0.991,0.9636,2025-05-16T01:11:37
scroll_c4e0c35e,crypto,🜅🜅🜅🜁🜅🜋,0.8921,0.9598,2025-05-16T16:43:04
scroll_18f9a44e,crypto,🜃🜅🜃🔷,0.8628,0.9556,2025-05-16T00:39:54
scroll_b94ee436,llm,🜁🜄🔷🜄🜋🜄,1.19,0.9576,2025-05-16T18:21:54
scroll_2e634839,llm,🜃🔷🜰,0.9751,0.9822,2025-05-16T08:17:23
scroll_f7ce394b,crypto,🜰🜅🜰🔷,0.9474,0.9581,2025-05-16T08:35:53
scroll_8d59502b,crypto,🜄🜰🜅🜋,1.0103,0.9732,2025-05-16T23:14:54
scroll_e6d32035,llm,🜄🜁🔷🜅🜌🜁,1.0114,0.9806,2025-05-16T11:40:43
scroll_5cbd96ea,robotics,🜰🜁🔷🜅🜋🜋,0.9201,0.983,2025-05-16T16:32:16
scroll_9a1d9386,crypto,🜋🜁🜰,1.094,0.9554,2025-05-16T01:07:06
scroll_d1fae831,crypto,🜋🜃🜋🜋🜰,1.1938,0.9882,2025-05-16T11:16:07
scroll_aaa4027d,llm,🜁🜅🜅🜰🜰,0.9966,0.9675,2025-05-16T08:23:00
scroll_48204d9d,crypto,🜅🜅🜰🜰🜋🜌,0.9072,0.9676,2025-05-16T04:59:39
scroll_d5ae0872,llm,🔷🜋🜌🜌🜌🜌,1.0667,0.9753,2025-05-16T04:45:50
scroll_766955c1,llm,🜃🜁🜄🜁,1.1364,0.9611,2025-05-16T05:22:36
scroll_9456bcdc,robotics,🜅🜄🜅🜌🔷🜄,0.9864,0.9694,2025-05-16T10:05:40
scroll_707a69e4,robotics,🜅🔷🜌🜃🜰,0.924,0.9544,2025-05-16T10:22:20
scroll_5905a832,robotics,🜄🜅🜁,1.1867,0.9573,2025-05-16T10:18:55
scroll_77209582,crypto,🜰🜁🜃🜌🔷🜅,1.1949,0.9513,2025-05-16T13:26:12
scroll_d4930d56,llm,🜋🜌🜰🜋🜅,1.0014,0.9861,2025-05-16T09:26:11
scroll_3968aa0b,robotics,🔷🜌🜰🜰🜰🜌,1.0196,0.9747,2025-05-16T09:03:11
scroll_c67c6828,crypto,🔷🜃🜃🜰,0.89,0.9549,2025-05-16T20:57:11
scroll_6467e326,llm,🜰🔷🜰,0.9751,0.9863,2025-05-16T09:07:06
scroll_5fa9861e,llm,🜰🜅🜰🜌,1.1244,0.9848,2025-05-16T03:14:17
scroll_75a43b25,robotics,🜁🜋🜃🜰🜰,1.0343,0.9562,2025-05-16T07:26:37
scroll_fc530136,llm,🜅🜋🜄,1.042,0.9533,2025-05-16T07:14:09
scroll_99b2f498,llm,🜌🜅🜄🔷,1.0288,0.9546,2025-05-16T13:52:37
scroll_b76fa477,crypto,🜄🔷🜰,1.1972,0.9825,2025-05-16T10:57:53
scroll_b28fb7cd,crypto,🜄🜌🜰🜄🜁,0.9998,0.968,2025-05-16T19:49:23
scroll_558c452a,crypto,🔷🜅🜌🜁,0.8674,0.9881,2025-05-16T22:57:31
scroll_7aa59ea7,robotics,🜅🜁🔷,1.2467,0.964,2025-05-16T02:35:42
scroll_e2d0c79e,llm,🜋🜅🜋🜌,0.9772,0.9827,2025-05-16T19:55:50
scroll_7b7a77f3,robotics,🜄🔷🜋,0.917,0.9595,2025-05-16T22:37:37
scroll_f5f5def8,crypto,🜌🜃🜃🜋🜅🔷,1.2248,0.9688,2025-05-16T05:59:36
scroll_434fcced,llm,🜅🜌🜃🜌🜄,1.0626,0.9859,2025-05-16T17:46:12
scroll_235cf52a,crypto,🜰🔷🔷🜰🜃,1.2174,0.9854,2025-05-16T10:41:58
scroll_9c37d0f1,llm,🜌🜌🜌🜅🜌,1.133,0.9884,2025-05-16T16:07:57
scroll_d800d65e,llm,🜅🜰🜋🜰🜃,0.9574,0.987,2025-05-16T09:05:15
scroll_e1724c65,llm,🜄🜄🔷🜰🜅,0.9336,0.9504,2025-05-16T09:09:41
scroll_7ccd3859,robotics,🜰🜃🜰,1.1897,0.9863,2025-05-16T09:57:05
scroll_d718b74d,crypto,🜃🜌🜃🜄🜃,1.1184,0.9596,2025-05-16T18:58:18
scroll_b0c8acc7,crypto,🜅🔷🜃🜄🜋🜃,1.2131,0.9806,2025-05-16T20:27:40
scroll_90c1dfd3,crypto,🜅🜄🜰🜁🜁🜌,1.1662,0.9576,2025-05-16T08:21:34
scroll_2a53f162,robotics,🜌🜰🜅,0.9622,0.9631,2025-05-16T11:07:25
scroll_dbdbb197,llm,🜁🜰🜋🜄,1.1217,0.9538,2025-05-16T21:57:10
scroll_1e3ac6da,robotics,🔷🜃🜄🜰,0.9353,0.9797,2025-05-16T05:50:47
scroll_5ad14578,llm,🜄🜋🔷🜅🜰🜃,0.9908,0.983,2025-05-16T12:35:38
scroll_c2c4fec1,crypto,🜅🜌🜄🜄,0.956,0.972,2025-05-16T07:21:23
scroll_41ae38b6,crypto,🜌🜰🔷,1.2365,0.9792,2025-05-16T09:37:18
scroll_5ba6524f,crypto,🜰🜋🜄🔷🔷🜰,1.1717,0.9873,2025-05-16T03:49:54
scroll_5611a305,robotics,🜁🔷🜁,0.9217,0.9789,2025-05-16T07:59:47
scroll_8b160b2a,crypto,🜁🔷🜃🜌🜄🜋,1.1075,0.9808,2025-05-16T11:17:39
scroll_64dc8c7f,robotics,🜁🜋🜃🜰🔷,0.9117,0.9546,2025-05-16T12:36:43
scroll_4f8dc852,llm,🜋🜰🜃🜄🜅🜃,0.9571,0.9574,2025-05-16T02:14:17
scroll_7eeec2ac,crypto,🜃🜁🜌🜁🜌🜌,1.1992,0.9629,2025-05-16T19:11:26
scroll_90cf10d1,llm,🜁🜄🜌🔷,1.2359,0.9796,2025-05-16T18:43:19
scroll_3ff75377,crypto,🜃🜅🜌🜃🔷🜌,0.945,0.9636,2025-05-16T07:48:22
scroll_939713a2,llm,🜃🜄🜅🜃🜄🜃,1.1823,0.9897,2025-05-16T13:06:36
scroll_03e74351,crypto,🜁🜁🜄🜄🜁🜋,1.145,0.9811,2025-05-16T02:37:14
scroll_673627c0,crypto,🔷🜌🜁🜅,1.019,0.983,2025-05-16T00:35:41
scroll_963b2e46,crypto,🜃🔷🜄,1.1445,0.9693,2025-05-16T14:09:22
scroll_49866a0b,llm,🔷🜌🔷,1.0445,0.9628,2025-05-16T05:44:14
scroll_6d102eb6,crypto,🜋🜅🜰,0.9231,0.9629,2025-05-16T10:30:57
scroll_f1d1a652,llm,🔷🜅🜃,1.0413,0.9583,2025-05-16T14:20:53
scroll_45427191,robotics,🜌🜄🜌🜰,1.0646,0.9612,2025-05-16T15:01:19
scroll_233876dc,crypto,🜄🜃🜌🜰🜁🔷,0.8889,0.9676,2025-05-16T19:35:53
scroll_e42454da,llm,🜁🜋🜄,1.0315,0.9557,2025-05-16T12:28:57
scroll_fd013394,llm,🜅🜄🜄🜄🔷🜄,0.9655,0.9887,2025-05-16T21:32:54
scroll_414d1c99,robotics,🜅🜰🜃🜅,1.2117,0.961,2025-05-16T21:06:00
scroll_8c0fe0f7,crypto,🜌🜄🜁🔷,0.8932,0.9748,2025-05-16T07:36:51
scroll_8768275a,robotics,🜃🜅🜌🜌,1.1895,0.9558,2025-05-16T08:10:18
scroll_e4af07a9,llm,🜄🜄🜋🜄🜄🔷,1.1472,0.9618,2025-05-16T18:55:07
scroll_b05580ff,llm,🜄🜰🜋,1.142,0.9509,2025-05-16T02:54:15
scroll_f1fccb52,llm,🔷🜁🜰🜅,0.9488,0.966,2025-05-16T11:42:44
scroll_2b186c01,robotics,🜅🜋🜰🜋,1.1574,0.9561,2025-05-16T16:08:40
scroll_5bd7743c,llm,🜁🜃🜅,1.04,0.954,2025-05-16T12:20:22
scroll_8a76c360,crypto,🜅🜃🜁🜰🜌,1.0587,0.9859,2025-05-16T01:24:02
scroll_6110c267,crypto,🜋🜰🜄,0.8948,0.9656,2025-05-16T12:18:35
scroll_cc841f85,robotics,🜁🜰🜋🜌,1.1051,0.962,2025-05-16T23:14:20
scroll_805f242d,robotics,🜁🜌🔷🜅,0.9975,0.9644,2025-05-16T21:53:40
scroll_80046c89,robotics,🜅🜰🜃🜋,0.9818,0.9756,2025-05-16T19:58:57
scroll_0bcf7e2b,llm,🜌🜌🜰🜃🜌🔷,1.0255,0.953,2025-05-16T04:26:28
scroll_95d9e6d1,llm,🜁🜰🜃🜁🜋,1.0272,0.9852,2025-05-16T15:18:22
scroll_8986ceec,robotics,🜋🜅🜃🜌,1.1028,0.9864,2025-05-16T16:36:30
scroll_84d54c14,crypto,🜌🔷🜁🜁🜄🜅,1.1912,0.9691,2025-05-16T19:57:04
scroll_3d25ab5e,llm,🔷🜰🜅,0.877,0.9818,2025-05-16T21:49:51
scroll_662e1aed,crypto,🜃🜃🜰,1.1098,0.9521,2025-05-16T00:34:01
scroll_54836a22,robotics,🜰🜄🜋🔷🜄,1.0044,0.9508,2025-05-16T02:28:26
scroll_b053e377,llm,🜁🜁🜌🜄🜋🜋,0.8854,0.966,2025-05-16T00:36:17
scroll_9edfcafd,llm,🜌🜌🜃🜃🜁,1.2449,0.9578,2025-05-16T22:07:06
scroll_d0ea3ea1,robotics,🜰🜃🜄🜌🜅🜄,1.095,0.9575,2025-05-16T19:21:02
scroll_d00c2814,robotics,🜌🜌🜅🜅🜃,1.0014,0.9619,2025-05-16T14:07:32
scroll_87c757a7,llm,🜁🜌🜌🜋🜰,1.0196,0.9579,2025-05-16T15:26:30
scroll_d79ac274,robotics,🜅🜅🜁🜅🜄🜌,1.1501,0.971,2025-05-16T16:17:53
scroll_20ba4cd7,crypto,🜌🜄🜰🜋🔷🜋,1.0569,0.9846,2025-05-16T05:39:02
scroll_566d6ed0,robotics,🜁🜌🜃🜌🔷,0.9865,0.9842,2025-05-16T14:29:21
scroll_6a34b6c0,robotics,🜌🜋🜃🜋🔷,1.044,0.9728,2025-05-16T19:35:54
scroll_7cda2ca0,crypto,🜃🔷🜋🜌🜄,1.1195,0.9825,2025-05-16T21:04:28
scroll_189fcdc6,robotics,🜋🜅🜌,0.9127,0.9603,2025-05-16T07:57:17
scroll_3dd788d1,robotics,🜄🜄🜰🜁,0.9203,0.9612,2025-05-16T20:02:26
scroll_5d4c942c,llm,🜄🜄🜌🜋,0.9724,0.9603,2025-05-16T20:21:17
scroll_382b87ed,llm,🜃🜃🔷,1.0895,0.966,2025-05-16T10:31:29
scroll_985d26b5,robotics,🜃🜄🜋🜄🜁,0.9928,0.9897,2025-05-16T11:48:10
scroll_c2683625,crypto,🜁🜌🜄🜰🜄🜰,1.2294,0.9813,2025-05-16T08:51:38
scroll_a098f168,crypto,🜌🜌🜅🜁,0.9115,0.9859,2025-05-16T09:42:59
scroll_5066e3be,crypto,🜋🜄🜌🜁,0.931,0.9789,2025-05-16T02:26:15
scroll_35abb250,robotics,🜃🜋🜰,0.939,0.9634,2025-05-16T03:47:31
scroll_a8fd53a9,llm,🔷🜁🔷🜃,1.168,0.9797,2025-05-16T10:18:58
scroll_75a41872,llm,🜁🔷🜅🜄🜌,1.1507,0.9511,2025-05-16T01:02:16
scroll_6a863e98,llm,🜋🜁🜋,1.0717,0.9641,2025-05-16T05:34:48
scroll_66594b2d,llm,🜅🜋🜰🜄,1.2324,0.9791,2025-05-16T13:58:40
scroll_66e2fdaa,crypto,🜋🜅🜅,1.0681,0.9637,2025-05-16T21:01:50
scroll_4325111f,crypto,🜃🜄🔷🜅🜃,1.2288,0.9508,2025-05-16T15:15:24
scroll_03abcff3,crypto,🜌🜋🜰🜅,1.0685,0.9866,2025-05-16T00:36:42
scroll_4195d1d3,llm,🜰🜋🜰🜅🜋,0.8693,0.9823,2025-05-16T22:11:47
scroll_1da3a943,llm,🜁🜅🜄🜰🜄,1.1454,0.9562,2025-05-16T06:39:31
scroll_231b1259,robotics,🔷🜋🜌🜰🜌,1.2485,0.9712,2025-05-16T22:20:57
scroll_0bc8101c,robotics,🜋🜄🜁🜋🔷,0.9721,0.9884,2025-05-16T09:04:02
scroll_da17747f,crypto,🜰🜃🜄,1.0679,0.9619,2025-05-16T09:20:57
scroll_5d0525c7,robotics,🜋🜋🔷🜰🜋🜋,1.041,0.976,2025-05-16T17:02:37
scroll_ab72d78b,llm,🜰🜁🔷🜁🔷🜅,1.2084,0.9759,2025-05-16T03:11:20
scroll_645825f5,crypto,🔷🜅🜄,1.2175,0.9788,2025-05-16T02:19:00
scroll_7b83ebd4,llm,🜌🜃🜅🔷🜰🜄,1.0479,0.9815,2025-05-16T16:10:45
scroll_723ec801,llm,🜁🜋🜋🔷🜅🜄,1.0349,0.9746,2025-05-16T00:54:18
scroll_bf2ee321,robotics,🜄🜌🔷🜌🜃🜁,1.132,0.9613,2025-05-16T14:00:11
scroll_8c367038,llm,🜄🔷🜅🜋🜃,0.9332,0.959,2025-05-16T18:07:59
scroll_9aa5ee82,crypto,🜰🜰🜃🜋🜋,1.2321,0.9555,2025-05-16T05:54:09
scroll_b1483da9,robotics,🜅🜃🜋,0.9198,0.9553,2025-05-16T10:45:46
scroll_53ae0d9b,crypto,🜄🜄🜃🜰🔷,1.0154,0.9693,2025-05-16T12:39:53
scroll_6f65a5bb,robotics,🜅🔷🜌🜌🜃🜰,1.0386,0.964,2025-05-16T10:40:49
scroll_7d8b2aa7,crypto,🜃🔷🜰,1.1631,0.9759,2025-05-16T16:10:37
scroll_fff57002,llm,🜰🔷🜌🜁🔷🔷,0.895,0.9788,2025-05-16T13:26:45
scroll_8e96da60,llm,🜃🜁🔷🜌🔷🜁,1.0534,0.9731,2025-05-16T05:33:03
scroll_be31695f,crypto,🜅🔷🔷🔷🜌🔷,1.0178,0.9525,2025-05-16T00:38:17
scroll_1505da95,robotics,🜄🜌🜄,0.9396,0.9825,2025-05-16T17:35:20
scroll_bcd6134d,crypto,🜄🜋🜁🜅🜌🔷,1.1416,0.9699,2025-05-16T01:30:53
scroll_57dc695c,crypto,🜋🔷🜃,0.9731,0.967,2025-05-16T13:41:17
scroll_a1d86725,crypto,🔷🜋🜋🜄🜅🜄,1.1333,0.9615,2025-05-16T12:26:14
scroll_f78e9f3f,llm,🔷🜄🜃🜄,1.1984,0.9686,2025-05-16T11:18:11
scroll_56848b29,robotics,🜁🜁🜌🜃,1.1661,0.9676,2025-05-16T01:08:12
scroll_9021855e,robotics,🔷🜄🜌🜁,1.1663,0.9549,2025-05-16T05:43:10
scroll_a9fa6560,robotics,🜅🜁🜄🜋🜅,1.0314,0.9839,2025-05-16T22:32:05
scroll_562de0d0,llm,🜃🜋🜋🜅🜁,0.9162,0.9766,2025-05-16T04:20:08
scroll_3c098076,robotics,🜅🜁🜋🜄🜰,1.0038,0.9785,2025-05-16T15:52:58
scroll_c8086464,robotics,🜄🜋🜰,1.1473,0.9516,2025-05-16T04:01:02
scroll_3f90f9b5,robotics,🜃🜋🜌🜄🜋,1.0906,0.9558,2025-05-16T01:17:59
scroll_876f8cde,llm,🜄🜌🜅🜃,1.2023,0.9688,2025-05-16T23:54:26
scroll_dae4fece,crypto,🜁🜄🜅🜅🜋,1.1416,0.9778,2025-05-16T06:16:22
scroll_ddb07ecb,llm,🜅🜰🜅🜃🜰,1.0686,0.9619,2025-05-16T07:12:31
scroll_bcd71c33,crypto,🜁🜰🜄🜄🜅🜅,1.2229,0.9612,2025-05-16T05:17:53
scroll_273271f0,robotics,🜁🜁🜄🜰🜌,1.1012,0.9544,2025-05-16T03:02:52
scroll_47a6180f,robotics,🜄🜰🔷🜰🜅🜄,0.8579,0.9866,2025-05-16T20:26:08
scroll_4d2941f6,robotics,🜋🜁🔷🜋,1.0803,0.9752,2025-05-16T16:44:43
scroll_d4cbf870,llm,🜁🜄🜋🜄🜋🜋,1.1818,0.9899,2025-05-16T20:16:19
scroll_125c595c,robotics,🜰🜁🔷🜅🜅🜃,1.2298,0.9655,2025-05-16T01:53:06
scroll_465fca5b,crypto,🜄🜄🜁,1.0659,0.9533,2025-05-16T16:39:08
scroll_e2e74e41,llm,🜅🜁🔷🜃,1.0701,0.9605,2025-05-16T17:16:57
scroll_aed07698,crypto,🜰🜄🜁,1.1183,0.9571,2025-05-16T20:37:40
scroll_f15b42a4,crypto,🜰🜄🜅🜌,0.9172,0.9851,2025-05-16T01:07:14
scroll_57487fde,crypto,🜁🜰🔷,1.1286,0.9888,2025-05-16T10:28:53
scroll_ac298625,llm,🜌🜌🜄🜅🜋,1.0729,0.9881,2025-05-16T17:44:14
scroll_0f643684,crypto,🜅🜅🜰🜋🜄,1.191,0.9796,2025-05-16T03:52:26
scroll_58972905,robotics,🜅🜃🜌,1.2105,0.9713,2025-05-16T11:45:31
scroll_77ceb96b,llm,🜋🜅🜄🜌,0.8521,0.9781,2025-05-16T21:02:37
scroll_b4a7b433,llm,🜁🜄🜅🜁,1.0692,0.9553,2025-05-16T05:04:59
scroll_6b7dd3d2,crypto,🜋🜁🜄🜅,1.055,0.988,2025-05-16T10:42:05
scroll_e3b964de,robotics,🜁🜃🜃🜰🜃,1.1301,0.9601,2025-05-16T01:27:58
scroll_6db7009d,llm,🔷🜅🜄,1.2052,0.9826,2025-05-16T09:19:49
scroll_57e3e3ec,crypto,🜄🜌🜄,0.8663,0.9833,2025-05-16T00:32:53
scroll_25342bbe,robotics,🜁🜌🜃,1.2142,0.9531,2025-05-16T23:56:24
scroll_8b7bbadd,llm,🜰🜄🜄🔷🜁🔷,0.9967,0.9778,2025-05-16T17:36:41
scroll_e468af5f,crypto,🜅🜁🜄🜋🜃🜁,1.1468,0.9747,2025-05-16T15:16:33
scroll_1f81d6bd,robotics,🜌🜅🜅,1.1549,0.9721,2025-05-16T21:05:29
scroll_2a4aa4f0,robotics,🔷🜋🔷🜅🜄,0.9095,0.9855,2025-05-16T18:59:26
scroll_410ed0e7,crypto,🜅🜁🜰,1.1646,0.9794,2025-05-16T22:50:43
scroll_26a99ad6,crypto,🜅🔷🜅🜋🜋,1.1885,0.9563,2025-05-16T06:26:36
scroll_259c6654,robotics,🜄🔷🔷,0.9328,0.9584,2025-05-16T06:12:14
scroll_e3ed97b3,llm,🜋🜋🜋,0.8769,0.9584,2025-05-16T06:30:49
scroll_3e26ed19,crypto,🜋🜰🔷🜌🜄🜋,0.8601,0.9675,2025-05-16T11:42:20
scroll_7bb57c84,crypto,🜰🜃🔷🜃,1.1549,0.9816,2025-05-16T16:21:50
scroll_a446ed8e,crypto,🜰🜄🜃🜰🜌,0.926,0.9893,2025-05-16T16:48:38
scroll_51097a68,robotics,🜰🜰🜋🜌🜋🜋,0.9786,0.9898,2025-05-16T07:42:38
scroll_54936454,llm,🜅🜌🜄🜅,1.0089,0.9532,2025-05-16T03:59:56
scroll_0bec0b40,robotics,🜋🜅🜋🜌🜁,1.1181,0.9642,2025-05-16T03:18:55
scroll_1882d7f4,crypto,🜋🜰🜌,1.23,0.9816,2025-05-16T04:25:32
scroll_6a1ea5c0,robotics,🜄🜁🔷🜅,1.2025,0.9679,2025-05-16T14:09:29
scroll_6c1805e4,crypto,🜁🜰🔷🜌,0.8855,0.969,2025-05-16T05:27:04
scroll_a08fa2d4,robotics,🜅🜌🔷🜃🜰,1.1477,0.95,2025-05-16T08:39:47
scroll_e022d27b,llm,🜁🜄🜋🔷🜃,1.0333,0.9861,2025-05-16T12:03:03
scroll_db3f4345,crypto,🜰🜃🜅🜄🜋,0.9451,0.9648,2025-05-16T23:24:35
scroll_f958bec7,robotics,🜁🜌🜋🜅,0.8523,0.9625,2025-05-16T22:33:13
scroll_60c06bd7,robotics,🜄🜋🜌🜌🜁,1.1591,0.9505,2025-05-16T01:04:50
scroll_2528f126,llm,🜃🜁🜅🜅,1.0503,0.9853,2025-05-16T13:34:24
scroll_341c666d,llm,🜃🜃🔷,1.1927,0.9707,2025-05-16T17:59:42
scroll_7e4a0a88,crypto,🜰🜄🜰,1.1228,0.9866,2025-05-16T22:51:07
scroll_14ee3e5c,crypto,🜁🜋🜋🜋,0.9016,0.9734,2025-05-16T14:53:33
scroll_04be44e7,llm,🜌🔷🜰🜌🜅,0.9639,0.9729,2025-05-16T02:45:59
scroll_de84c951,robotics,🜌🜄🜄🜄🜰,0.9235,0.9873,2025-05-16T03:19:41
scroll_0e83d51c,llm,🜌🜃🜰🜄🜋🜃,1.1323,0.9726,2025-05-16T19:47:44
scroll_a2696fc5,crypto,🜌🜋🔷🔷🔷🜌,1.0994,0.958,2025-05-16T11:41:28
scroll_49453a53,robotics,🜅🔷🜄,0.9983,0.9713,2025-05-16T21:27:25
scroll_ed142da9,crypto,🜁🜁🜃,0.9195,0.9691,2025-05-16T04:04:34
scroll_c410c272,llm,🜅🔷🔷🔷🜄🔷,1.0309,0.9882,2025-05-16T23:42:13
